"","DOY","median_Flow_cfs","p25_Flow_cfs","p75_Flow_cfs"
"1",1,2920,1770,5810
"2",2,2830,1830,5700
"3",3,2710,1750,5780
"4",4,3020,1720,6200
"5",5,3070,1910,5980
"6",6,2620,2110,5550
"7",7,3470,1850,5610
"8",8,3170,1950,5590
"9",9,3560,1820,5310
"10",10,3670,1710,5370
"11",11,3550,1620,4990
"12",12,3130,1630,4750
"13",13,2780,2020,4980
"14",14,2510,1920,5360
"15",15,2400,1960,5490
"16",16,3170,1940,5600
"17",17,3690,1890,5610
"18",18,3900,1760,5500
"19",19,3330,1630,5740
"20",20,4210,1560,5860
"21",21,4460,1700,6100
"22",22,4280,2010,6030
"23",23,4020,1940,5960
"24",24,4030,1820,5840
"25",25,4220,1890,6130
"26",26,4320,1820,5980
"27",27,3420,1750,5900
"28",28,3290,1790,5860
"29",29,3050,1840,6300
"30",30,3000,1930,6560
"31",31,3500,1930,6690
"32",32,3490,2030,6470
"33",33,3390,1950,5770
"34",34,3250,1940,5400
"35",35,2720,1950,5220
"36",36,2750,1860,5280
"37",37,2930,1820,5050
"38",38,3200,1830,5560
"39",39,3400,2190,6190
"40",40,3400,2410,6750
"41",41,3340,2730,6060
"42",42,3070,2570,4540
"43",43,3030,2330,4770
"44",44,3010,1940,5170
"45",45,2900,1660,5460
"46",46,3080,1700,5670
"47",47,3330,1630,5810
"48",48,3450,1570,6030
"49",49,3210,1680,5930
"50",50,3530,1760,5900
"51",51,3410,1680,6230
"52",52,3150,1800,6550
"53",53,2970,1610,6590
"54",54,2790,1850,6530
"55",55,2810,1840,6500
"56",56,3060,1760,6610
"57",57,3320,1760,6690
"58",58,3320,1870,6550
"59",59,3500,1740,6340
"60",60,3710,1800,6290
"61",61,4070,1700,6570
"62",62,4600,2000,6610
"63",63,4610,1930,6560
"64",64,4120,2070,6900
"65",65,4140,2310,7110
"66",66,4150,2830,7150
"67",67,3850,3050,6910
"68",68,3710,2710,5830
"69",69,3570,2670,5280
"70",70,3360,2460,5810
"71",71,3120,2190,6300
"72",72,2610,1970,5800
"73",73,2570,1870,5620
"74",74,2320,2090,5010
"75",75,2550,1910,4540
"76",76,2640,2010,4710
"77",77,2700,1990,4730
"78",78,3440,1950,4850
"79",79,3370,1890,5260
"80",80,3410,1910,5270
"81",81,3720,1840,5690
"82",82,3640,1710,5340
"83",83,3840,2040,5330
"84",84,4250,2110,5470
"85",85,4210,1930,5100
"86",86,4060,2120,5170
"87",87,4000,1930,5020
"88",88,4320,1970,4950
"89",89,4500,1930,5050
"90",90,4400,2290,4900
"91",91,4350,2610,5240
"92",92,4000,2730,5280
"93",93,4040,3050,5530
"94",94,3790,2760,5660
"95",95,3470,2642.5,5635
"96",96,3120,2412.5,5532.5
