agency_cd,site_no,Date,X_00060_00003,X_00060_00003_cd
USGS,02089500,1930-03-01,2710,A
USGS,02089500,1930-03-02,2660,A
USGS,02089500,1930-03-03,2600,A
USGS,02089500,1930-03-04,2600,A
USGS,02089500,1930-03-05,2540,A
USGS,02089500,1930-03-06,2490,A
USGS,02089500,1930-03-07,2440,A
USGS,02089500,1930-03-08,2540,A
USGS,02089500,1930-03-09,3160,A
USGS,02089500,1930-03-10,3700,A
USGS,02089500,1930-03-11,3940,A
USGS,02089500,1930-03-12,4780,A
USGS,02089500,1930-03-13,4780,A
USGS,02089500,1930-03-14,4140,A
USGS,02089500,1930-03-15,3400,A
USGS,02089500,1930-03-16,2760,A
USGS,02089500,1930-03-17,2390,A
USGS,02089500,1930-03-18,2290,A
USGS,02089500,1930-03-19,2240,A
USGS,02089500,1930-03-20,2240,A
USGS,02089500,1930-03-21,2290,A
USGS,02089500,1930-03-22,2390,A
USGS,02089500,1930-03-23,2390,A
USGS,02089500,1930-03-24,2340,A
USGS,02089500,1930-03-25,2340,A
USGS,02089500,1930-03-26,2340,A
USGS,02089500,1930-03-27,2290,A
USGS,02089500,1930-03-28,2240,A
USGS,02089500,1930-03-29,2140,A
USGS,02089500,1930-03-30,1990,A
USGS,02089500,1930-03-31,1840,A
USGS,02089500,1930-04-01,1790,A
USGS,02089500,1930-04-02,1840,A
USGS,02089500,1930-04-03,1790,A
USGS,02089500,1930-04-04,1790,A
USGS,02089500,1930-04-05,1840,A
USGS,02089500,1930-04-06,2140,A
USGS,02089500,1930-04-07,2600,A
USGS,02089500,1930-04-08,2880,A
USGS,02089500,1930-04-09,3280,A
USGS,02089500,1930-04-10,3820,A
USGS,02089500,1930-04-11,4140,A
USGS,02089500,1930-04-12,3880,A
USGS,02089500,1930-04-13,2880,A
USGS,02089500,1930-04-14,2290,A
USGS,02089500,1930-04-15,2040,A
USGS,02089500,1930-04-16,1840,A
USGS,02089500,1930-04-17,1940,A
USGS,02089500,1930-04-18,1990,A
USGS,02089500,1930-04-19,1890,A
USGS,02089500,1930-04-20,2090,A
USGS,02089500,1930-04-21,2240,A
USGS,02089500,1930-04-22,2660,A
USGS,02089500,1930-04-23,2930,A
USGS,02089500,1930-04-24,2820,A
USGS,02089500,1930-04-25,2390,A
USGS,02089500,1930-04-26,1990,A
USGS,02089500,1930-04-27,1740,A
USGS,02089500,1930-04-28,1560,A
USGS,02089500,1930-04-29,1420,A
USGS,02089500,1930-04-30,1380,A
USGS,02089500,1930-05-01,1340,A
USGS,02089500,1930-05-02,1300,A
USGS,02089500,1930-05-03,1260,A
USGS,02089500,1930-05-04,1220,A
USGS,02089500,1930-05-05,1100,A
USGS,02089500,1930-05-06,1100,A
USGS,02089500,1930-05-07,1030,A
USGS,02089500,1930-05-08,996,A
USGS,02089500,1930-05-09,960,A
USGS,02089500,1930-05-10,960,A
USGS,02089500,1930-05-11,960,A
USGS,02089500,1930-05-12,926,A
USGS,02089500,1930-05-13,926,A
USGS,02089500,1930-05-14,926,A
USGS,02089500,1930-05-15,960,A
USGS,02089500,1930-05-16,1030,A
USGS,02089500,1930-05-17,1100,A
USGS,02089500,1930-05-18,1260,A
USGS,02089500,1930-05-19,1340,A
USGS,02089500,1930-05-20,1340,A
USGS,02089500,1930-05-21,1140,A
USGS,02089500,1930-05-22,996,A
USGS,02089500,1930-05-23,926,A
USGS,02089500,1930-05-24,1030,A
USGS,02089500,1930-05-25,1100,A
USGS,02089500,1930-05-26,996,A
USGS,02089500,1930-05-27,926,A
USGS,02089500,1930-05-28,858,A
USGS,02089500,1930-05-29,824,A
USGS,02089500,1930-05-30,758,A
USGS,02089500,1930-05-31,758,A
USGS,02089500,1930-06-01,758,A
USGS,02089500,1930-06-02,892,A
USGS,02089500,1930-06-03,926,A
USGS,02089500,1930-06-04,790,A
USGS,02089500,1930-06-05,758,A
USGS,02089500,1930-06-06,726,A
